source,date,exchange,product,variety,grade,min_price_tlkg,max_price_tlkg,avg_price_tlkg,last_price_tlkg,volume_kg,transaction_count,transaction_value_tl,url
tobb,2005-03-02 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.15,6.27,6.17,,97.095,2.0,599136.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-03 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.25,6.6,6.55,,446.863,5.0,2925747.25,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-04 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.3,6.3,6.3,,42.13,1.0,265509.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-07 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.6,6.5,6.39,,91.511,4.0,584324.67,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-09 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.9,6.5,6.07,,231.938,4.0,1409011.3,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-10 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.67,6.6,6.11,,188.237,5.0,1150652.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-11 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.61,6.61,6.61,,41.0,1.0,271010.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-14 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.28,6.28,6.28,,60.65,1.0,380990.25,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-16 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.07,6.59,6.56,,241.695,3.0,1586408.15,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-17 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.18,7.06,6.24,,272.093,6.0,1696652.9,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-18 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.2,6.5,6.31,,18.855,2.0,119047.5,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-21 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.18,6.75,6.38,,216.029,4.0,1378662.75,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-22 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.67,6.98,6.35,,458.771,9.0,2911229.89,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-23 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.15,6.22,6.17,,36.7,2.0,226524.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-24 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.1,6.15,6.12,,13.0,2.0,79525.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-25 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.59,6.59,6.59,,41.12,1.0,271131.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-03-29 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.08,6.6,6.33,,107.6,2.0,681245.35,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-06 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.1,6.32,6.26,,132.51,2.0,830139.65,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-08 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.35,6.35,6.35,,14.986,1.0,95107.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-11 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.62,6.34,6.22,,57.546,4.0,357651.3,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-12 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.07,6.5,6.21,,193.14,4.0,1200116.65,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-13 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.42,6.6,6.48,,193.095,2.0,1251165.25,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-14 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.1,6.1,6.1,,31.85,1.0,194285.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-18 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.0,6.2,6.18,,55.35,4.0,341855.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-19 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.8,6.94,6.46,,738.368,7.0,4769590.82,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-20 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.2,6.6,6.4,,632.826,5.0,4047953.5,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-21 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.9,6.67,6.34,,919.216,10.0,5832319.68,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-22 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.05,6.3,6.17,,64.715,2.0,399065.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-28 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.25,6.6,6.48,,82.607,3.0,529498.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-04-29 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.2,6.2,6.2,,18.252,1.0,113162.4,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-02 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.48,6.6,6.56,,88.7,2.0,581705.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-03 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.35,6.35,6.35,,103.89,1.0,659701.5,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-04 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.1,6.1,6.1,,2.1,1.0,12810.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-05 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.34,6.69,6.56,,131.8,2.0,864651.75,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-06 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.03,6.47,6.13,,26.48,3.0,162441.54,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-09 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.24,6.24,6.24,,10.94,1.0,68311.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-10 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.84,6.43,6.22,,217.622,4.0,1353153.7,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-11 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.0,6.2,6.11,,73.703,2.0,450330.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-12 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.1,6.1,6.1,,7.567,1.0,46158.7,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-13 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.03,6.7,6.5,,171.64,4.0,1115797.5,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-16 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.5,6.5,6.5,,32.15,1.0,208975.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-18 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.1,7.13,6.34,,286.374,5.0,1816242.25,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-20 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.78,6.47,6.45,,310.827,2.0,2006170.8,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-23 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.21,6.6,6.36,,752.869,11.0,4784876.14,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-25 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.99,6.02,6.01,,18.72,2.0,112543.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-26 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.0,6.5,6.23,,163.32,5.0,1017036.1,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-27 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.0,6.5,6.49,,121.53,2.0,788820.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-05-31 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.09,6.09,6.09,,60.0,1.0,365562.6,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-01 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.0,6.3,6.13,,179.342,4.0,1100079.85,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
