month,tur_usd,ulker_try,mdlz_usd,nestle_usd,barry_chf,hershey_usd,bunge_usd,cocoa_usd,dba_usd,tryusd
2000-01,,,,8.06403636932373,168.5431365966797,11.562067031860352,,795.0,,
2000-02,,,,8.535470962524414,165.103515625,11.953129768371582,,753.0,,
2000-03,,,,8.94487476348877,164.75953674316406,13.336639404296875,,800.0,,
2000-04,,,,8.733970642089844,158.2241973876953,12.447529792785645,,747.0,,
2000-05,,,,9.49074935913086,153.75257873535156,14.191549301147461,,842.0,,
2000-06,,,,9.986995697021484,160.2879638671875,13.336309432983398,,820.0,,
2000-07,,,,10.34677505493164,170.950927734375,12.717623710632324,,825.0,,
2000-08,,,,10.619712829589844,181.61383056640625,11.738022804260254,,745.0,,
2000-09,,,,10.669340133666992,177.48626708984375,14.977160453796387,,797.0,,
2000-10,,,,10.3219633102417,171.29489135742188,15.029040336608887,,,,
2000-11,,,,10.718963623046875,158.2241973876953,17.502172470092773,,704.0,,
2000-12,,,,11.537774085998535,165.103515625,17.896989822387695,,758.0,,
2001-01,,,,10.520462036132812,165.65753173828125,16.541696548461914,,1020.0,,
2001-02,,,,10.937623977661133,173.44485473632812,17.81776237487793,,1131.0,,
2001-03,,,,10.259932518005371,155.7463836669922,19.355144500732422,,1073.0,,
2001-04,,,,10.485123634338379,155.7463836669922,16.867338180541992,,,,
2001-05,,,,10.43471622467041,157.87022399902344,16.931564331054688,,936.0,,
2001-06,,,11.059945106506348,10.686758041381836,150.08291625976562,17.312763214111328,,974.0,,
2001-07,,,11.042109489440918,10.767416000366211,148.66702270507812,16.934011459350586,,,,
2001-08,,,11.50590991973877,10.717008590698242,155.7463836669922,18.089881896972656,11.131095886230469,927.0,,
2001-09,,,12.262264251708984,10.686758041381836,104.59786987304688,18.428503036499023,10.368694305419922,1077.0,,
2001-10,,,12.041069984436035,10.485123634338379,113.97804260253906,17.96617889404297,10.746846199035645,1017.0,,
2001-11,,,11.816304206848145,10.384305000305176,128.84474182128906,18.453886032104492,11.802018165588379,1355.0,,
2001-12,,,12.140965461730957,10.737170219421387,121.58836364746094,19.172584533691406,14.199014663696289,1310.0,,
2002-01,,,13.272765159606934,10.817822456359863,125.97904968261719,19.928722381591797,11.802018165588379,1344.0,,
2002-02,,,14.003369331359863,11.110200881958008,116.9542465209961,20.008018493652344,11.984993934631348,1466.0,,
2002-03,,,13.84221363067627,11.211015701293945,128.92593383789062,19.493478775024414,13.270842552185059,1494.0,,
2002-04,,,14.749563217163086,11.846173286437988,127.45246887207031,19.33989143371582,13.558947563171387,1540.0,,
2002-05,,,15.457572937011719,12.35786247253418,126.71578216552734,18.978696823120117,13.362788200378418,1598.0,,
2002-06,,,14.717214584350586,11.896368980407715,129.29428100585938,17.855398178100586,12.993195533752441,1630.0,,
2002-07,,,13.340304374694824,11.127203941345215,116.217529296875,22.414960861206055,12.592928886413574,1787.0,,
2002-08,,,14.339018821716309,11.055416107177734,114.1915283203125,21.640743255615234,13.177932739257812,2012.0,,
2002-09,,,13.145604133605957,10.973372459411621,98.72042846679688,17.805234909057617,14.968409538269043,,,
2002-10,,,14.295958518981934,11.055416107177734,95.95773315429688,18.67182159423828,15.69827938079834,1927.0,,
2002-11,,,13.593836784362793,10.378554344177246,115.66499328613281,18.47669792175293,15.18489933013916,1750.0,,
2002-12,,,14.0896635055542,10.91183853149414,118.61185455322266,19.449384689331055,14.94134521484375,,,
2003-01,,,11.571353912353516,10.68621826171875,124.55731201171875,18.60150909423828,16.146093368530273,2409.0,,
2003-02,,,10.757554054260254,10.173443794250488,124.55731201171875,18.633230209350586,16.08399200439453,2080.0,,
2003-03,,,10.245283126831055,9.968334197998047,122.6351547241211,18.163442611694336,15.68593692779541,1960.0,,
2003-04,,,11.287342071533203,10.735615730285645,148.3923797607422,18.914213180541992,17.462759017944336,2076.0,,
2003-05,,,11.835273742675781,10.977927207946777,138.78146362304688,20.609968185424805,18.017635345458984,1493.0,,
2003-06,,,11.890067100524902,10.893648147583008,143.77914428710938,20.291065216064453,17.89548110961914,,,
2003-07,,,10.20500373840332,10.535441398620605,141.47256469726562,21.20859718322754,18.740201950073242,1465.0,,
2003-08,,,10.898547172546387,11.48363208770752,144.54800415039062,20.360960006713867,18.93417739868164,1820.0,,
2003-09,,,10.82515811920166,12.115756034851074,153.77447509765625,21.28782081604004,17.27333641052246,1626.0,,
2003-10,,,10.743622779846191,11.620591163635254,161.46322631835938,22.582435607910156,17.022079467773438,1440.0,,
2003-11,,,11.692462921142578,12.29486083984375,179.72396850585938,22.758167266845703,17.888885498046875,1446.0,,
2003-12,,,11.895522117614746,13.200907707214355,188.3737335205078,22.666475296020508,20.761621475219727,1515.0,,
2004-01,,,11.960188865661621,13.991065979003906,211.71856689453125,22.23076057434082,21.568878173828125,1520.0,,
2004-02,,-9012.6572265625,12.546875,14.001602172851562,241.05784606933594,24.40644073486328,24.62760353088379,,,
2004-03,,-11305.3515625,11.88592529296875,13.422150611877441,233.12831115722656,24.50735855102539,25.44160270690918,1549.0,,
2004-04,,-9407.9521484375,12.284866333007812,13.401081085205078,213.70095825195312,26.29400062561035,23.436386108398438,1413.0,,
